SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
1308  1.42199                  2  kle+10                       0  
1309  1.2217076921             3  mlc+01     2.110E-14          9  mlc+01 
1310  1.3091087873             3  lfl+06     3.51E-15          12  lfl+06 

1311  0.239919487227           4  crh+06a    0.4296E-15         3  crh+06a 
1312  1.257787625             10  lfl+06     1.99E-15          15  lfl+06 
1313  1.0324711993             4  mlc+01     1.500E-14          8  mlc+01 
1314  2.0623862583            13  kbm+03     2.30E-14           5  kbm+03 
1315  0.004791822704           3  mlb+12     5E-20              3  mlb+12 

1316  1.46507137487            9  kbm+03     2.79E-15           3  kbm+03 
1317  1.3086                   0  dsm+13                       0  
1318  0.12347018               9  kek+13                       0  
1319  1.11013244403            5  mlc+01     1.216751E-12       4  mlc+01 
1320  0.287431567184          13  mlc+01     1.440E-15          3  mlc+01 

1321  0.88277826565           10  hfs+04     3.33E-15           4  hfs+04 
1322  1.29309994235           16  hfs+04     1.10E-15           3  hfs+04 
1323                          0                              0  
1324  0.0270831832440066      12  lem+15     2.4632E-19         3  lem+15 
1325  0.3860037238349         15  hlk+04     1.122656E-15      14  hlk+04 

1326  0.61553824309           16  mlc+01     7.2E-17           31  mlc+01 
1327  0.866342509              4  lfl+06     2.3E-16            6  lfl+06 
1328  0.0662928992668          4  btb+15     17.2E-20           7  btb+15 
1329  0.00812279804607698      4  rhc+16     2.01844E-20        3  rhc+16 
1330  1.5384267263             3  lfl+06     8.85E-15           8  lfl+06 

1331  0.139460211250          18  hlk+04     8.482941E-14      18  hlk+04 
1332  3.2702418032             5  hfs+04     2.196E-14          4  hfs+04 
1333  0.09982956              15  ncb+15                       0  
1334  0.00234455954688568     11  nbb+14     2.5407E-20         5  nbb+14 
1335  0.75304798900            3  hfs+04     1.679E-15          3  hfs+04 

1336  0.54467054719            4  ncb+15     28093E-18         18  ncb+15 
1337  0.82982878524            5  wmp+00     1.63626E-13        4  wmp+00 
1338  0.483769998047           8  hlk+04     1.8180E-16        10  hlk+04 
1339  0.196543154965          20  rkp+11     2.80483E-14       12  rkp+11 
1340  0.33288667881            4  lfl+06     4.02E-16           9  lfl+06 

1341  0.126689998553           5  ncb+15                       0  
1342  2.18400134708           15  kbm+03     1.30E-15           5  kbm+03 
1343  0.6279806844             3  nmc81      1.2838E-14        12  nmc81 
1344  0.323434055969          13  hfs+04     6.61E-16           6  hfs+04 
1345  0.00531255029055024     12  rhc+16     1.41951E-20       17  rhc+16 

1346  0.871682832986           3  hlk+04     4.2703E-17        10  hlk+04 
1347  0.65979414168            4  lfl+06     2.100E-15          5  lfl+06 
1348  0.76818455674            6  lfl+06     1.108E-15          8  lfl+06 
1349  0.362051962860          14  hfs+04     1.6485E-15        11  hfs+04 
1350  1.24591463402            8  mhl+02     4.10E-15           3  mhl+02 

1351  0.337593698481          12  lwy+16     1.504456E-14      19  lwy+16 
1352  0.561778329077          13  hfs+04     3.624E-15          3  hfs+04 
1353  1.011233535              8  bbb+12     0.4E-15            2  bbb+12 
1354  0.839394324968           9  hlk+04     4.2100E-16         8  hlk+04 
1355  0.61252373999           12  lfl+06     1.051E-15         12  lfl+06 

1356  0.541285680730           5  ncb+15     16.2E-18           5  ncb+15 
1357  1.169340685              5  elk+11     2.27941E-12        5  elk+11 
1358  0.7828869765             5  blr+13     6.32E-16          12  blr+13 
1359  0.4193349661853         11  hlk+04     1.214735E-15       9  hlk+04 
1360  0.35096322944           12  mhl+02     2.608E-14          7  mhl+02 

1361  0.999245                 3  cnst96                       0  
1362  2.64222343904           14  lfl+06     3.43E-15           3  lfl+06 
1363  1.59241948019           13  hfs+04     1.4921E-14        13  hfs+04 
1364  6.4450360861            17  hfs+04     2.999E-14         17  hfs+04 
1365  0.50280278290           13  kbm+03     1.57E-15           8  kbm+03 

1366  0.0041750173128551       8  blr+13     7.93E-21           8  blr+13 
1367  0.76867227339            5  mhl+02     3.7334E-14         6  mhl+02 
1368  0.45043236999            7  mhl+02     1.38756E-13        3  mhl+02 
1369  0.81627308018            6  hfs+04     2.251E-15          6  hfs+04 
1370  0.397584746441           3  jml+95     6.1214E-15         2  jml+95 

1371  0.0058500958597756860    11  fwe+12     2.411992E-20      14  fwe+12 
1372  1.39179                  0  dsm+16                       0  
1373  1.97884743163            4  lfl+06     8.559E-15          4  lfl+06 
1374  0.34959099098            5  hfs+04     3.153E-15         15  hfs+04 
1375  0.627715518484          19  ncb+15     4624.3E-18         7  ncb+15 

1376  0.4433980218             4  mhl+02     8.1861E-14         6  mhl+02 
1377  0.54949769829           13  hfs+04     3.0E-16            7  hfs+04 
1378  0.768498945480           3  hlk+04     7.94911E-16       18  hlk+04 
1379  0.73037251102            5  hfs+04     8.9E-17            4  hfs+04 
1380  0.234169035616           3  jbo+09     0.15640E-15       12  jbo+09 

1381  1.215697613611           9  ebvb01     8.17E-17           9  ebvb01 
1382  1.81846119286           24  jcs+17     0.24E-15           2  jcs+17 
1383  0.322882431774           9  hlk+04     7.87980E-15        7  hlk+04 
1384  0.11436793182            4  mhl+02     1.140145E-14      12  mhl+02 
1385  0.239317178406          18  mhl+02     2.1781E-15        18  mhl+02 

1386  0.52944098843           15  hlk+04     1.85836E-14       15  hlk+04 
1387  0.87756123714           15  mhl+02     1.97E-16          15  mhl+02 
1388  0.341772476799          10  lfl+06     2.0E-17            5  lfl+06 
1389  0.154087174313           2  mac+02     2.14651E-14        2  mac+02 
1390  0.803050264794           4  hlk+04     1.451320E-15      12  hlk+04 

1391  1.69265634040            9  hfs+04     1.851E-15         12  hfs+04 
1392  0.60688662425            4  ywml10     4.66124E-13       12  ywml10 
1393  0.570313411724           3  msk+12     2.5504275E-14     95  msk+12 
1394  0.515000656402          14  hfs+04     3.8978E-15        14  hfs+04 
1395  0.00365032889720         1  dpm+01     1.68E-19           7  dpm+01 

1396  2.043082458401           6  hlk+04     2.27471E-15        5  hlk+04 
1397  0.003747154500259940     8  abb+18     3.021648E-20      15  abb+18 
1398  3.90450636119           13  ebvb01     1.6260E-14        13  ebvb01 
1399  0.41370012084           18  rkp+11     1.6983E-14         6  rkp+11 
1400  0.346796929142          19  lfl+06     8.1E-17            4  lfl+06 

1401  0.89295866978            6  mhl+02     1.48E-16           8  mhl+02 
1402  1.3607376877             4  lwf+04     1.841E-15          1  lwf+04 
1403  0.223557828541          15  mhl+02     6.342E-16         20  mhl+02 
1404  1.89374869377           18  mhl+02     8.99E-15           6  mhl+02 
1405  0.875137                 2  ncb+15                       0  

1406  0.512211401067           8  wmz+01     1.9313E-15        14  wmz+01 
1407  1.0163491951             4  lfl+06     8.2E-17           29  lfl+06 
1408  0.412401047219           7  ebvb01     3.38E-17          12  ebvb01 
1409  0.44464510677           10  hlk+04     1.5562E-15         8  hlk+04 
1410  1.47363                  0  dsm+16                       0  

1411  0.405336948592          10  hlk+04     4.7752E-16         9  hlk+04 
1412  1.24250830909           11  hfs+04     4.72E-16          10  hfs+04 
1413  2.41457551997            6  hlk+04     1.207753E-13       6  hlk+04 
1414  0.193105399932           7  mhl+02     1.05675E-14        4  mhl+02 
1415  0.569980                 9  ncb+15                       0  

1416  0.3061669878595         16  ebvb01     7.834E-16          4  ebvb01 
1417  0.004074545941439190     7  rhc+16     8.93471E-21        5  rhc+16 
1418  1.757205868816          16  ebvb01     2.3767E-15        16  ebvb01 
1419  1.68350668862            2  dsb+98     8.327E-16          9  dsb+98 
1420  1.06606087128            4  mhl+02     2.1224E-14        12  mhl+02 

1421  0.172444360995           2  fsk+04     1.55E-18          12  fsk+04 
1422  0.3556658488             8  bbb+12     0.19E-15           1  bbb+12 
1423  0.0046875240948954      11  cpw+18     -9.679E-6         18  cpw+18 
1424  1.045406855598          18  ebvb01     6.31E-16           4  ebvb01 
1425  0.0193763034411294      19  jsb+10     9.246E-20          5  jsb+10 

1426  0.0026521296710897       4  bgc+13     2.729E-21         15  bgc+13 
1427  1.160592538166          19  hfs+04     2.857E-15          3  hfs+04 
1428  3.763733080             17  laks15     1.756E-11          3  laks15 
1429  0.982                    0  dcl09                        0  
1430  0.1873794                2  jkl+06                       0  

1431  0.367432451482          11  lwy+16     1.067103E-14      10  lwy+16 
1432  0.6983528638             2  bbb+12     2.426E-15          7  bbb+12 
1433  3.46503778264            6  clm+05     4.919E-15          7  clm+05 
1434  1.0581481703             1  lwf+04     1.047E-15          2  lwf+04 
1435  0.48752760873            8  ncb+15                       0  

1436  1.478480373              2  dcl09      1.27E-14           6  dcl09 
1437  1.0771014910             4  dcl09      1.34311E-12        2  dcl09 
1438  0.945224316              3  jkl+06     12.5E-15           3  jkl+06 
1439  0.1995413598713         12  pga+12     6.56093E-15       12  pga+12 
1440  1.5787928888             2  bbb+12     0.43E-15           2  bbb+12 

1441  0.500254454491          16  kel+09     13.2412E-15       18  kel+09 
1442  2.7800791979             8  mhl+02     2.37E-15          12  mhl+02 
1443  0.052152855              2  crgl09     1.5557E-13         3  crgl09 
1444  0.0988139764825         20  gvc+04     6.132329E-14      10  gvc+04 
1445  0.00164560961449250     11  abb+18     1.3142E-20         5  abb+18 

1446  0.3941333466126         14  hlk+04     1.212692E-15      11  hlk+04 
1447  0.2886027917197         16  frb+08     3.9933E-16        10  frb+08 
1448  0.016760127219257        5  frb+08     -3.2913E-19       17  frb+08 
1449  0.006226932720487        3  frb+08     -5.983E-20        16  frb+08 
1450  0.013495820403909        3  frb+08     5.8677E-19        17  frb+08 

1451  0.016264003411125        6  frb+08     3.124E-19          4  frb+08 
1452  0.003793629114948        3  frb+08     -1.055E-20        19  frb+08 
1453  0.442838499130           6  hlk+04     1.1131E-16         4  hlk+04 
1454  0.01156314838986         3  lmbm00     -3.40E-20          4  lmbm00 
1455  0.00578804               0  fre08                        0  

1456  0.00511971               0  fre08                        0  
1457  0.00508691               0  fre08                        0  
1458  0.00139595482            6  hrs+06     0E-19              6  hrs+06 
1459  0.00365859               0  fre08                        0  
1460  0.00330434               0  fre08                        0  

1461  0.00444803               0  fre08                        0  
1462  0.00496515               0  fre08                        0  
1463  0.02122838               0  fre08                        0  
1464  0.0029589095505841       4  crf+18     1.41232E-19        7  crf+18 
1465  0.00189010668450548     15  crf+18     8.8494E-20         8  crf+18 

1466  5.95                     0  crf+18                       0  
1467  0.0084360953044          1  lmbm00     -6.06E-19          4  lmbm00 
1468  0.00471398               0  rhs+05                       0  
1469  0.00219780               0  rhs+05                       0  
1470  0.00554014               0  rhs+05                       0  

1471  0.02167187               0  rhs+05                       0  
1472  0.00492589               0  rhs+05                       0  
1473  0.00957019               0  rhs+05                       0  
1474  0.08033793               0  rhs+05                       0  
1475  0.00296965               0  rhs+05                       0  

1476  0.00224470               0  rhs+05                       0  
1477  0.00356957               0  rhs+05                       0  
1478  0.00866690               0  rhs+05                       0  
1479  0.00167663               0  rhs+05                       0  
1480  0.00172862               0  rhs+05                       0  

1481  0.002812                 0  rhs+05                       0  
1482  0.00502854               0  rhs+05                       0  
1483  0.00611664               0  rhs+05                       0  
1484  0.00708491               0  rhs+05                       0  
1485  0.00328914               0  fre08                        0  

1486  0.00207251               0  rhs+05                       0  
1487  0.00420518               0  rhs+05                       0  
1488  0.00299926               0  fre08                        0  
1489  0.00204816               0  rhs+05                       0  
1490  0.00246259               0  fre08                        0  

1491  0.3827347                6  ncb+15                       0  
1492  0.009684273              2  kek+13                       0  
1493  2.31165                  0  dsm+16                       0  
1494  0.87448588170            4  hfs+04     2.4236E-15        10  hfs+04 
1495  1.33538779057           13  mhl+02     1.72E-15           3  mhl+02 

1496  0.609873648673          15  hlk+04     7.87067E-15       12  hlk+04 
1497  0.445822307              2  bbb+12     0.59E-15           2  bbb+12 
1498  1.3323097198             7  nmc81      2.12E-15           3  nmc81 
1499  1.90881                  0  dsm+16                       0  
1500  5.639047079              3  lfl+06     7.9E-15           16  lfl+06 

1501  0.712794036774          10  mhl+02     1.0797E-14         3  mhl+02 
1502  0.89937672140            5  hfs+04     2.64E-16           3  hfs+04 
1503  0.034749053              8  kek+13                       0  
1504  1.3005131462             7  ncb+15     5780E-18         190  ncb+15 
1505  0.910362984150           5  hlk+04     1.9652E-16         4  hlk+04 

1506  0.68401360292            3  dsb+98     3.81E-17           4  dsb+98 
1507  0.1116008373133          4  frb+08     5.661E-18          8  frb+08 
1508  0.006074542086503        6  frb+08     1.92E-20           5  frb+08 
1509  0.02656867837497         5  frb+08     -9.96E-19          3  frb+08 
1510  0.005139936774902        4  frb+08     4.928E-19          3  frb+08 

1511  0.39483578357           10  mhl+02     2.645E-15          3  mhl+02 
1512  0.003914873259435        3  dcl+16     1.121E-20          3  dcl+16 
1513  0.54822710380            7  ywml10     8.830E-15          7  ywml10 
1514  0.742352395470          10  smd93      1.2911E-15         6  smd93 
1515  0.409050865044           9  lwf+04     0.6427E-15         9  lwf+04 

1516  0.1910366935341         19  hfs+04     6.1773E-16         8  hfs+04 
1517  0.56255763553            3  hlk+04     8.12913E-15       10  hlk+04 
1518  0.64022949952            4  mhl+02     3.468E-15         17  mhl+02 
1519  0.405454                 1  bb10                         0  
1520  0.0629548889725         12  lfl+06     2.02E-18          12  lfl+06 

1521  0.0951378086771          7  kkl+09     0.00097E-15       12  kkl+09 
1522  0.52833640936            3  hlk+04     1.411502E-14      17  hlk+04 
1523  0.666804                 0  kjv+10                       0  
1524  2.0902480768             4  bbb+12     0.83E-15           2  bbb+12 
1525  1.3204904144             3  jcs+17     4.428E-15         19  jcs+17 

1526  0.361690595821          10  hfs+04     5.712E-16          7  hfs+04 
1527  0.392703893399           3  lfl+06     7.816E-16          5  lfl+06 
1528  2.39139679486            3  hlk+04     1.5641E-15         3  hlk+04 
1529  0.190709642575           4  bbb+12     0.7809E-15         3  bbb+12 
1530  0.73374443871            3  lfl+06     6.86E-16           3  lfl+06 

1531  0.322231178915           5  kel+09     4.4217E-15         6  kel+09 
1532  1.1759678772             5  mhl+02     9.0193E-14        17  mhl+02 
1533  1.00451255339            7  hfs+04     3.12081E-14       13  hfs+04 
1534  0.233540625445           9  hfs+04     1.12061E-14        9  hfs+04 
1535  0.3151960620987         16  nkt+18     2.4337E-15        14  nkt+18 

1536  0.43087215605           14  ncb+15     12280E-18         50  ncb+15 
1537  0.26195467832            5  mhl+02     1.4E-17            9  mhl+02 
1538  0.959466                 4  kek+13                       0  
1539  0.01278606928999        10  nbb+14     3.1E-20            4  nbb+14 
1540  0.74400093976            7  bfrs18     5.131E-16         17  bfrs18 

1541  0.40498030096            9  hfs+04     5.2691E-14         5  hfs+04 
1542  0.0284615890259983       5  fsk+14     1.017502E-18       3  fsk+14 
1543  0.6704799625529         14  hlk+04     2.84740E-16        9  hlk+04 
1544  0.855986                 2  ncb+15                       0  
1545  0.72451374873           11  kel+09     1.238E-15          6  kel+09 

1546  0.1794                   0  bbb+12                       0  
1547  0.451273                 1  fau04                        0  
1548  0.021497231890027        7  cck+18     2.6303E-18         7  cck+18 
1549  0.1853101015788         11  mhl+02     7.820E-16          3  mhl+02 
1550  0.23410579125            5  ymw+17     1.30048E-14       17  ymw+17 

1551  0.01768721477177        11  ncb+15     0.21E-18           2  ncb+15 
1552  0.008869961227277        4  eb01b      2.63E-20           4  eb01b 
1553  0.69255157815            7  hfs+04     1.692E-14          3  hfs+04 
1554  0.430278250497          15  mhl+02     9.56E-16           4  mhl+02 
1555  2.1072633712             4  mhl+02     1.55E-15          14  mhl+02 

1556  1.20289346322           18  mhl+02     5.17E-15           8  mhl+02 
1557  0.76670638621            3  lfl+06     9.4E-17           18  lfl+06 
1558  0.94725581104            8  snt97      7.2E-16            1  snt97 
1559  2.5122628118             5  bbb+12     15.74E-15          2  bbb+12 
1560  0.79845156695            8  lfl+06     2.55E-16          20  lfl+06 

1561  0.73150547250           17  hfs+04     3.07E-15           7  hfs+04 
1562  0.254720352269           7  mhl+02     9.34E-17          20  mhl+02 
1563  2.8433888097             3  mhl+02     1.857E-14          5  mhl+02 
1564  0.460974127869           9  hlk+04     1.087242E-14       9  hlk+04 
1565  0.81071772906           12  mhl+02     1.0744E-14        12  mhl+02 

1566  0.55888867754            3  mhl+02     3.762E-15          3  mhl+02 
1567  1.457739                11  ncb+15                       0  
1568  0.95654854873           11  mhl+02     9.9592E-14        13  mhl+02 
1569  0.574400267809           3  hlk+04     4.62847E-15        3  hlk+04 
1570  1.07895331831            4  hfs+04     3.769E-15          9  hfs+04 

1571  0.78318548958            3  crh+06a    11.537E-15         5  crh+06a 
1572  1.7992724923             7  hfs+04     5.5E-16           26  hfs+04 
1573  1.03082                  2  moh83                        0  
1574  0.578364                15  slr+14                       0  
1575  0.92149067377            4  hlk+04     3.3101E-15         3  hlk+04 

1576  0.0071756146066706       8  lrfs11     -5.1310E-19        4  lrfs11 
1577  0.02896158773099         3  lrfs11     2.1910E-18         5  lrfs11 
1578  0.00373869966067         2  lrfs11     -6.5E-20           2  lrfs11 
1579  0.004226532003547        3  lrfs11     6.9E-21            6  lrfs11 
1580  0.0036250967171671      17  dcl+16     0.530E-20          3  dcl+16 

1581  2.5504982104            10  mhl+02     1.8E-16           22  mhl+02 
1582  1.10872484960            5  mhl+02     7.03E-16           9  mhl+02 
1583  0.4381131572             4  hfs+04     1.6E-17            6  hfs+04 
1584  0.375296924221          10  hfs+04     1.59982E-14        5  hfs+04 
1585  0.4158270895435         18  ywml10     1.1293023E-13     11  ywml10 

1586  0.124924206569           8  hlk+04     1.279057E-13       5  hlk+04 
1587  1.081908474227           6  hlk+04     3.29310E-15        9  hlk+04 
1588  0.007453584373467        3  nbb+14     -4.4E-23          39  nbb+14 
1589  1.3856036231             3  lfl+06     4.0E-16            4  lfl+06 
1590  0.554261603931          10  ebvb01     2.109E-15          3  ebvb01 

1591  0.6643                   0  dsm+13                       0  
1592  1.681                    0  bbb+12                       0  
1593  0.51467137652            3  mhl+02     5.64E-16          11  mhl+02 
1594  0.0126475935865227       4  fsk+10     7.256E-20          3  fsk+10 
1595  0.56900709018            3  mhl+02     8.562E-15          7  mhl+02 

1596  2.461051995              3  bbb+12     1.32E-15           9  bbb+12 
1597  0.536595822673          18  hfs+04     1.7714E-15        12  hfs+04 
1598  2.86433773648           13  mhl+02     1.517E-14          4  mhl+02 
1599  0.443648922251          16  hfs+04     3.297E-16          8  hfs+04 
1600  0.13366692025028        17  ywml10     1.34359375E-13    17  ywml10 

1601  0.106332094095           3  pga+12     1.951385E-14       7  pga+12 
1602  0.334415426505           3  hlk+04     1.7113E-17        13  hlk+04 
1603  0.007101                 0  dpm+01a                      0  
1604  0.004397                 0  fre08                        0  
1605  0.005840                 0  fre08                        0  

1606  0.633411983159           4  bbb+12     0.3372E-15         2  bbb+12 
1607  0.02310085528430         3  hlk+04     4.671E-19          3  hlk+04 
1608  0.57051063348           10  mhl+02     1.43E-16          10  mhl+02 
1609  0.009343030844543        4  dcl+16     4.085E-20          5  dcl+16 
1610  1.273011                 9  kek+13                       0  

1611  0.2187115654904         15  hlk+04     9.99455E-16        7  hlk+04 
1612  0.00213                  0  cck+16                       0  
1613  0.454650713078           7  ebvb01     9.690E-16         13  ebvb01 
1614  1.1812692298             3  lfl+06     2.7E-16            3  lfl+06 
1615  0.40576948790            5  mhl+02     8.394E-15          7  mhl+02 

1616  0.357806774953          13  mhl+02     1.7555E-15        16  mhl+02 
1617  0.661401759025          14  hfs+04     5.8E-18            7  hfs+04 
1618  0.4283409894             2  bbb+12     0.474E-15          5  bbb+12 
1619  0.484286459778           2  jbo+09     0.05725E-15        4  jbo+09 
1620  0.522618385775           4  hlk+04     1.40877E-15        3  hlk+04 

1621  0.66830920992            5  hfs+04     8.62E-16           3  hfs+04 
1622  0.8797908756             7  mhl+02     1.7E-17           21  mhl+02 
1623  0.481789349              3  mhl+02     1.214E-13          5  mhl+02 
1624  0.01508366732422         2  kmk+18     0.0000375E-15      5  kmk+18 
1625  0.7989                   0  dsm+13                       0  

1626  0.464300493199           2  clm+05     0.1294E-15         2  clm+05 
1627  0.16372737166367         9  hlk+04     2.87993E-17        4  hlk+04 
1628  0.003059448798020229    30  lfrj12     -4.3352E-21       26  lfrj12 
1629  0.00418617720284089     25  lfrj12     8.23245E-20       18  lfrj12 
1630  2.76419486975            4  kkl+11     4.994E-15          2  kkl+11 

1631  0.827776461518           9  hlk+04     1.217251E-14       7  hlk+04 
1632  0.425115                 3  cnst96                       0  
1633  0.876044286677           6  hlk+04     1.24020E-15        6  hlk+04 
1634  0.596993202504           4  lfl+06     7.725E-16          4  lfl+06 
1635  0.544549207067           8  eklk13     2.6671E-15         5  eklk13 

1636  0.24103454795            9  lfl+06     1.2E-17           12  lfl+06 
1637  7.55592                  5  mte+05     5.49E-10           9  mte+05 
1638  0.918410326286          11  hlk+04     1.707608E-14       9  hlk+04 
1639  2.45788177758           12  lfl+06     6.5818E-14        11  lfl+06 
1640  0.364912241765          10  ebvb01     7.0494E-15        10  ebvb01 

1641  0.7449764016             3  bbb+12     2.29E-15           2  bbb+12 
1642  0.313885674748           5  ebvb01     1.521E-16          9  ebvb01 
1643  0.895285284345          13  mhl+02     5.240E-15          4  mhl+02 
1644  1.12448108944           17  hfs+04     1.0575E-14         8  hfs+04 
1645  0.082746885746           3  mhl+02     2.553546E-14       4  mhl+02 

1646  5.540742829             20  crh+16     2.8281E-12        11  crh+16 
1647  0.43481138633           16  mhl+02     7.28E-15           6  mhl+02 
1648  0.702413629135           4  hlk+04     3.82187E-15        3  hlk+04 
1649  0.146788548116           7  rkp+11     3.44207E-14        3  rkp+11 
1650  0.8603878390             7  dsb+98     1.2E-16            1  dsb+98 

1651  0.217213500357           4  hfs+04     2.387E-17         19  hfs+04 
1652  0.00166                  0  hrm+11                       0  
1653  0.153716278369           8  mhl+02     5.2E-17            3  mhl+02 
1654  0.032822244860022        8  jsb+10     1.4742E-19        12  jsb+10 
1655  0.26104931796            7  nmc81      3.83E-16           4  nmc81 

1656  0.92494482303            4  ebvb01     1.608E-15          6  ebvb01 
1657  0.46171267661            3  lwf+04     2.692E-15          1  lwf+04 
1658  2.6238585620             3  kek+13     0.8E-15            2  kek+13 
1659  0.39138510099            9  ncb+15     120E-18           80  ncb+15 
1660  0.1041819547968          4  cks+07     9.01E-19           5  cks+07 

1661  0.55746361200           10  mhl+02     6.315E-15         13  mhl+02 
1662  0.06466700               2  ttd+99     4.40E-14           4  ttd+99 
1663  0.00266059331683918      7  nbb+14     1.33774E-20       15  nbb+14 
1664  0.415812941402          11  lfl+06     2.972E-16         11  lfl+06 
1665  1.4327041968             1  bbb+12     2.254E-15          5  bbb+12 

1666  0.793902802035           3  hlk+04     3.59963E-15        3  hlk+04 
1667  1.20537444137            9  ywml10     1.9077E-14        15  ywml10 
1668  0.538340543302           9  hlk+04     9.8245E-16         5  hlk+04 
1669  0.43099098078            6  hfs+04     3.774E-14          3  hfs+04 
1670  1.22335230807            9  mhl+02     2.3893E-14         9  mhl+02 

1671  0.315835048197           8  lfl+06     1.775E-16          9  lfl+06 
1672  0.236983307439           9  bbb+12     0.3156E-15         4  bbb+12 
1673  0.58747677594            2  bbb+12     0.6602E-15         8  bbb+12 
1674  0.048072246759           7  rkp+11     1.75637E-14        3  rkp+11 
1675  0.0446993053             6  hgc12      1.2655E-13         7  hgc12 

1676  0.3364246764             9  lwf+04     0.021E-15          8  lwf+04 
1677  0.426466240565          13  mhl+02     2.081E-15          6  mhl+02 
1678  0.328514216183          15  hfs+04     4.78E-17           6  hfs+04 
1679  0.0044300116286341      18  lem+15     1.2466E-20         6  lem+15 
1680  0.931089084936           3  hlk+04     2.54871E-15        3  hlk+04 

1681  1.01421948495            6  bbb+12     0.884E-15          3  bbb+12 
1682  1.37786849563           14  lfl+06     2.92E-16          16  lfl+06 
1683  0.751261115038           3  naf03      1.66038E-15        8  naf03 
1684  0.95746393536            7  mhl+02     6.333E-15          7  mhl+02 
1685  3.975905188             16  js06       7.447E-13          4  js06 

1686  0.1984357331818         16  hfs+04     7.785293E-14      12  hfs+04 
1687  1.24992353738            8  mhl+02     3.630E-14          3  mhl+02 
1688  0.426802                13  slr+14                       0  
1689  0.2176426911444         15  lfl+06     6.48032E-15       15  lfl+06 
1690  0.594499815819          18  hfs+04     1.3261E-15        11  hfs+04 

1691  0.78231335990            4  hlk+04     7.2621E-15         3  hlk+04 
1692  0.592885130439           3  hlk+04     6.6411E-17        15  hlk+04 
1693  0.0031931035538505       2  slr+14     4.310E-20          1  slr+14 
1694  0.2179228818474         13  jbo+09     0.00193E-15        6  jbo+09 
1695  0.438095346909          18  lfl+06     -2.3E-18          83  lfl+06 

1696  0.224603837185          16  hfs+04     1.4313E-15         9  hfs+04 
1697  2.0468376289             2  kek+13     0.36E-15           9  kek+13 
1698  0.62547                  2  moh83                        0  
1699  0.38701692095            3  nmc81      2.0465E-15        14  nmc81 
1700  0.38448678392            2  ebvb01     5.802E-16          6  ebvb01 

1701  0.8385                   0  bbb+12                       0  
1702  0.54479952470            5  hfs+04     3.824E-15          6  hfs+04 
1703  0.2914894606391          4  ywml10     2.035737E-15      17  ywml10 
1704  0.28137130037            6  eklk13     6.15E-15           2  eklk13 
1705  0.9396900396             5  mhl+02     4.11E-15           7  mhl+02 

1706  0.55113377674            3  mhl+02     9.676E-15          7  mhl+02 
1707  0.952708902877          19  kel+09     0.7062E-15        19  kel+09 
1708  0.852047483505          15  hfs+04     3.1302E-15        11  hfs+04 
1709  0.301489849278           7  hfs+04     1.3209E-15         5  hfs+04 
1710  0.29416251457            2  eklk13     0.566E-15          6  eklk13 

1711  1.38813712856           16  hfs+04     7.61E-16          10  hfs+04 
1712  1.060363543971           7  naf03      0.3592E-15         2  naf03 
1713  1.51569599263           12  lfl+06     6.0E-16            3  lfl+06 
1714  1.7884904528            16  mhl+02     2.59E-15          16  mhl+02 
1715  4.2631640329             4  lmk+09     5.75171E-13       19  lmk+09 

1716  0.226538990075           4  mhl+02     7.9E-18            9  mhl+02 
1717  2.352135                15  ncb+15                       0  
1718  0.39352163764            6  eklk13     3.455E-15          6  eklk13 
1719  0.598075929665          15  hlk+04     6.33137E-15        4  hlk+04 
1720  0.337320795791           3  lfl+06     9.323E-16          3  lfl+06 

1721  0.921459731325           5  hlk+04     4.49522E-15        4  hlk+04 
1722  0.333242850831          18  hfs+04     3.79072E-14       10  hfs+04 
1723  0.3099045934277          9  hlk+04     9.3609E-17         6  hlk+04 
1724  0.03378133193189        13  rsm+13     2.900E-20         19  rsm+13 
1725  0.414111049843          14  lfl+06     3.72E-17          14  lfl+06 

1726  0.90231562918            4  kek+13     2.53E-15           2  kek+13 
1727  1.6560095697             9  hfs+04     8.945E-13          3  hfs+04 
1728  1.91513066964            8  kel+09     5.373E-15          8  kel+09 
1729  1.366682059422          10  clm+05     0.8714E-15        11  clm+05 
1730  1.261787                46  slr+14                       0  

1731  1.362817392033          19  hlk+04     1.7472E-15         3  hlk+04 
1732  2.50451781786            5  bbb+12     4.03E-16          11  bbb+12 
1733  0.97470037336            6  hfs+04     3.55E-16           3  hfs+04 
1734  1.78703680542            4  lxf+05     2.346E-15          4  lxf+05 
1735  2.0710402725             5  hfs+04     8.476E-14          3  hfs+04 

1736  0.214771109789           6  hlk+04     9.0689E-16         5  hlk+04 
1737  8.43772106               7  skc14      2.1E-14            3  skc14 
1738  0.8311557274             3  hfs+04     1.885E-15         12  hfs+04 
1739  1.874268518252           6  hlk+04     1.35439E-15        4  hlk+04 
1740  0.456511944952           4  dsb+98     4.5864E-16         6  dsb+98 

1741  0.759777464363           4  hlk+04     1.13147E-15        4  hlk+04 
1742  0.7529065430494         10  hlk+04     2.26734E-16        9  hlk+04 
1743  0.279828696565           5  hlk+04     1.37862E-15        4  hlk+04 
