SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
194   0.112613212             20  rcl+13                       0  
195   0.0161222220245          4  mgm+04     5.1784338E-14     11  mgm+04 

196   0.14315825891177        11  klh+03     3.6694515E-15     13  klh+03 
197   0.5242708632083          5  nab+13     0.44811E-15        2  nab+13 
198   0.0505697030222         18  fak15      4.789091E-13       3  fak15 
199   1.286014595              3  dsb+98     8.2E-16            8  dsb+98 
200   0.42518900              72  rcl+13                       0  

201   0.2459747688901         19  hlk+04     1.5422691E-14     19  hlk+04 
202   0.70895418575            6  mfl+06     3.94E-15           3  mfl+06 
203                           0                              0  
204   1.07393                  2  kkl+15                       0  
205   2.84385038524            6  clm+05     7.65E-15           3  clm+05 

206   1.745                    0  dsm+16                       0  
207   0.464960965736          16  pga+13     1.426028E-13      11  pga+13 
208   1.1469058                2  bck+13                       0  
209   0.82783808575            7  mfl+06     5.96E-15           3  mfl+06 
210   0.0025563670767829       6  skl+15     7.352E-21         20  skl+15 

211   0.0436426389000          3  kmk+18     0.000073E-15       5  kmk+18 
212   2.261364513              3  nmc81      2.78E-15           9  nmc81 
213   0.3959691695432          5  hlk+04     1.302098E-15       5  hlk+04 
214   0.00273                  0  rap+12                       0  
215   1.0762                   0  dsm+13                       0  

216   0.05569801392951         2  lxf+05     0.000235E-15       2  lxf+05 
217   0.0038613247042986       6  bjd+06     0.00001235E-15     6  bjd+06 
218   0.443861                14  slr+14                       0  
219   1.67443                  0  dsm+16                       0  
220   0.27032946262            3  lsb+17     3.997E-15          3  lsb+17 

221   1.412090                 3  cnst96                       0  
222   0.29798232657184        18  hlk+04     5.94681E-17       18  hlk+04 
223   0.003061844040962330     9  abb+18     9.59057E-21       15  abb+18 
224   0.61919818110            7  cvh+14     3.2448E-15        20  cvh+14 
225   0.33495996611           16  hlk+04     5.94494E-14       12  hlk+04 

226   0.003148669579439        9  rrc+11     1.75E-20           7  rrc+11 
227   1.039203                51  slr+14                       0  
228   0.2699540683678          9  bkl+13     0.00724E-15        6  bkl+13 
229   0.0288538611940574      16  dcl+16     4.730E-20          5  dcl+16 
230   0.00272                  0  rap+12                       0  

231                           0                              0  
232   0.333208231801           6  pga+12     2.54237E-14        5  pga+12 
233   0.613759600022           7  bkl+13     0.08837E-15        3  bkl+13 
234   1.0390764758510         15  hlk+04     8.30442E-16       12  hlk+04 
235   0.498397                 3  cnst96                       0  

236   0.346522567131          13  bkl+13     1.698E-15          3  bkl+13 
237   0.47587411456           12  bfrs18     2.9774E-14        10  bfrs18 
238   2.180                    0  dcm+09                       0  
239   1.241421391299           3  nab+13     0.5479E-15         2  nab+13 
240   0.476622836038           4  hlk+04     1.99573E-15        3  hlk+04 

241   0.680574832268           7  bkl+13     3.7481E-15        19  bkl+13 
242   1.24855                  0  dsm+16                       0  
243   1.24441859615            8  hlk+04     7.1229E-15         3  hlk+04 
244   0.1109789432160          8  cwp+17     3.61723E-15        3  cwp+17 
245   0.287800021959           9  ywml10     1.046741E-13      17  ywml10 

246   0.29739519058            7  rkp+11     7.9592E-14         3  rkp+11 
247   0.2370994416923         20  jh05       1.097087E-14       5  jh05 
248   3.2532108384             5  bjd+06     3.82E-15           8  bjd+06 
249   0.033856495             12  cmn+00                       0  
250   1.98459736713            4  bjd+06     3.1722E-15        20  bjd+06 

251   0.00286895284653414      3  abb+18     3.442E-21          5  abb+18 
252                           0                              0  
253   0.008853496686297741    15  abb+18     4.9219E-21        10  abb+18 
254   0.657873                24  slr+14                       0  
255   0.9039132                7  bkl+13     0.7357E-15         3  bkl+13 

256   1.23485362778            3  bkl+13     6.421E-15          8  bkl+13 
257   0.924053918109          14  bkl+13     0.1525E-15        12  bkl+13 
258   0.00475                  0  bph+17a                      0  
259   1.2144405115160         20  hlk+04     3.798787E-15      15  hlk+04 
260   1.22475441462            3  bjd+06     0.0267E-15        17  bjd+06 

261   0.183156898795           2  jbo+09     0.03191E-15        9  jbo+09 
262   0.563294925255           3  bkl+13     9.15201E-15       13  bkl+13 
263   0.384891195054           5  hlk+04     5.500309E-14       3  hlk+04 
264   0.19567094516627        16  hlk+04     6.853E-19         12  hlk+04 
265   0.6659935900             5  bcm+15                       0  

266   0.485268383925           5  jbo+09     0.1260E-15         2  jbo+09 
267   1.21409049248            1  lzb+00     4E-16              1  lzb+00 
268   0.00549096850619231      4  rhc+16     1.49067E-20        4  rhc+16 
269   0.974724730631           9  bjd+06     7.2819E-15         7  bjd+06 
270   8.391115532             26  kv05       6.983E-14         22  kv05 

271   0.01554239497400         8  bkl+13     4.4E-20            4  bkl+13 
272   0.4243114031834         11  hlk+04     9.2640E-17        11  hlk+04 
273   3.4423084877             4  bjd+06     293.11E-15         4  bjd+06 
274   0.251658714181          13  mhl+02     1.132879E-13       4  mhl+02 
275   0.51016034483            3  hlk+04     1.895713E-14      19  hlk+04 

276   1.79624970117           10  lfl+06     5.704E-15         10  lfl+06 
277    0.156250                0  sbd+11     1.22e-14           0  sbd+11 
278   4.8628739612             7  jcs+17     151.89E-15        25  jcs+17 
279   0.320366370454           5  mhl+02     5.46883E-15       11  mhl+02 
